epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.894813,0,1,1,0,0,0,0
2,1.85698,0,1,1,0,1.9802e-05,1.9802e-05,1.9802e-05
3,2.78786,0,1,1,0,3.9208e-05,3.9208e-05,3.9208e-05
4,3.67639,0,1,1,0,5.8218e-05,5.8218e-05,5.8218e-05
5,4.59082,0,1,1,0,7.6832e-05,7.6832e-05,7.6832e-05
6,5.50793,0,1,1,0,9.505e-05,9.505e-05,9.505e-05
7,6.39018,0,1,1,0,0.000112872,0.000112872,0.000112872
8,7.44794,0,1,1,0,0.000130298,0.000130298,0.000130298
9,8.33985,0,1,1,0,0.000147328,0.000147328,0.000147328
10,9.23447,0,1,1,0,0.000163962,0.000163962,0.000163962
11,10.2907,0,1,1,0,0.0001802,0.0001802,0.0001802
12,11.2212,0,1,1,0,0.000196042,0.000196042,0.000196042
13,12.2381,0,1,1,0,0.000211488,0.000211488,0.000211488
14,13.4118,0,1,1,0,0.000226538,0.000226538,0.000226538
15,14.2938,0,1,1,0,0.000241192,0.000241192,0.000241192
16,15.3055,0,1,1,0,0.00025545,0.00025545,0.00025545
17,16.1607,0,1,1,0,0.000269312,0.000269312,0.000269312
18,16.992,0,1,1,0,0.000282778,0.000282778,0.000282778
19,17.8929,0,1,1,0,0.000295848,0.000295848,0.000295848
20,18.7427,0,1,1,0,0.000308522,0.000308522,0.000308522
21,20.0461,0,1,1,0,0.0003208,0.0003208,0.0003208
22,21.0902,0,1,1,0,0.000332682,0.000332682,0.000332682
23,22.0239,0,1,1,0,0.000344168,0.000344168,0.000344168
24,22.9479,0,1,1,0,0.000355258,0.000355258,0.000355258
25,23.938,0,1,1,0,0.000365952,0.000365952,0.000365952
26,24.8574,0,1,1,0,0.00037625,0.00037625,0.00037625
27,26.2129,0,1,1,0,0.000386152,0.000386152,0.000386152
28,27.0899,0,1,1,0,0.000395658,0.000395658,0.000395658
29,28.1221,0,1,1,0,0.000404768,0.000404768,0.000404768
30,29.152,0,1,1,0,0.000413482,0.000413482,0.000413482
31,30.0593,0,1,1,0,0.0004218,0.0004218,0.0004218
32,31.0783,0,1,1,0,0.000429722,0.000429722,0.000429722
33,31.9912,0,1,1,0,0.000437248,0.000437248,0.000437248
34,32.8318,0,1,1,0,0.000444378,0.000444378,0.000444378
35,33.8897,0,1,1,0,0.000451112,0.000451112,0.000451112
36,34.7421,0,1,1,0,0.00045745,0.00045745,0.00045745
37,35.6281,0,1,1,0,0.000463392,0.000463392,0.000463392
38,36.453,0,1,1,0,0.000468938,0.000468938,0.000468938
39,37.3413,0,1,1,0,0.000474088,0.000474088,0.000474088
40,38.1893,0,1,1,0,0.000478842,0.000478842,0.000478842
41,39.0511,0,1,1,0,0.0004832,0.0004832,0.0004832
42,40.0717,0,1,1,0,0.000487162,0.000487162,0.000487162
43,41.0425,0,1,1,0,0.000490728,0.000490728,0.000490728
44,41.9496,0,1,1,0,0.000493898,0.000493898,0.000493898
45,42.819,0,1,1,0,0.000496672,0.000496672,0.000496672
46,43.7674,0,1,1,0,0.00049905,0.00049905,0.00049905
47,44.8259,0,1,1,0,0.000501032,0.000501032,0.000501032
48,45.9308,0,1,1,0,0.000502618,0.000502618,0.000502618
49,46.8102,0,1,1,0,0.000503808,0.000503808,0.000503808
50,47.6633,0,1,1,0,0.000504602,0.000504602,0.000504602
51,48.5514,0,1,1,0,0.000505,0.000505,0.000505
52,49.4013,0,1,1,0,0.000505002,0.000505002,0.000505002
53,50.4286,0,1,1,0,0.000504608,0.000504608,0.000504608
54,51.4362,0,1,1,0,0.000503818,0.000503818,0.000503818
55,52.3474,0,1,1,0,0.000502632,0.000502632,0.000502632
56,53.2042,0,1,1,0,0.00050105,0.00050105,0.00050105
57,54.2057,0,1,1,0,0.000499072,0.000499072,0.000499072
58,56.4069,0,1,1,0,0.000496698,0.000496698,0.000496698
59,57.7078,0,1,1,0,0.000493928,0.000493928,0.000493928
60,58.6217,0,1,1,0,0.000490762,0.000490762,0.000490762
61,59.6959,0,1,1,0,0.0004872,0.0004872,0.0004872
62,60.899,0,1,1,0,0.000483242,0.000483242,0.000483242
63,62.5512,0,1,1,0,0.000478888,0.000478888,0.000478888
64,63.7891,0,1,1,0,0.000474138,0.000474138,0.000474138
65,64.6421,0,1,1,0,0.000468992,0.000468992,0.000468992
66,65.5372,0,1,1,0,0.00046345,0.00046345,0.00046345
67,66.3743,0,1,1,0,0.000457512,0.000457512,0.000457512
68,67.2209,0,1,1,0,0.000451178,0.000451178,0.000451178
69,68.4654,0,1,1,0,0.000444448,0.000444448,0.000444448
70,69.3471,0,1,1,0,0.000437322,0.000437322,0.000437322
71,70.22,0,1,1,0,0.0004298,0.0004298,0.0004298
72,71.1489,0,1,1,0,0.000421882,0.000421882,0.000421882
73,72.17,0,1,1,0,0.000413568,0.000413568,0.000413568
74,73.0297,0,1,1,0,0.000404858,0.000404858,0.000404858
75,73.9252,0,1,1,0,0.000395752,0.000395752,0.000395752
76,74.7888,0,1,1,0,0.00038625,0.00038625,0.00038625
77,76.0339,0,1,1,0,0.000376352,0.000376352,0.000376352
78,77.0843,0,1,1,0,0.000366058,0.000366058,0.000366058
79,77.9501,0,1,1,0,0.000355368,0.000355368,0.000355368
80,79.0764,0,1,1,0,0.000344282,0.000344282,0.000344282
81,80.0022,0,1,1,0,0.0003328,0.0003328,0.0003328
82,80.8582,0,1,1,0,0.000320922,0.000320922,0.000320922
83,81.766,0,1,1,0,0.000308648,0.000308648,0.000308648
84,82.8329,0,1,1,0,0.000295978,0.000295978,0.000295978
85,83.7204,0,1,1,0,0.000282912,0.000282912,0.000282912
86,84.5663,0,1,1,0,0.00026945,0.00026945,0.00026945
87,85.4403,0,1,1,0,0.000255592,0.000255592,0.000255592
88,86.5128,0,1,1,0,0.000241338,0.000241338,0.000241338
89,87.3544,0,1,1,0,0.000226688,0.000226688,0.000226688
90,88.4797,0,1,1,0,0.000211642,0.000211642,0.000211642
91,89.6647,0,1,1,0,0.0001962,0.0001962,0.0001962
92,90.5556,0,1,1,0,0.000180362,0.000180362,0.000180362
