epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.6228,1.1473,0.37383,1,1.11458,8.574e-05,8.574e-05,8.574e-05
2,132.724,0.81312,0.82243,1,0.56966,0.000176574,0.000176574,0.000176574
3,194.981,0.52443,0.88785,1,0.28483,0.000257506,0.000257506,0.000257506
4,257.167,0.37395,0.94393,1,0.20185,0.000328534,0.000328534,0.000328534
5,320.315,0.44333,0.93458,1,0.1637,0.00038966,0.00038966,0.00038966
6,382.311,0.2403,0.94393,1,0.11293,0.000440882,0.000440882,0.000440882
7,444.693,0.23038,0.95327,1,0.12185,0.000482202,0.000482202,0.000482202
8,507.448,0.25408,0.94393,1,0.14331,0.000513618,0.000513618,0.000513618
9,569.467,0.22167,0.93458,1,0.16872,0.000535132,0.000535132,0.000535132
10,631.079,0.17841,0.94393,1,0.12826,0.000546743,0.000546743,0.000546743
11,696.118,0.14562,0.97196,1,0.08336,0.00054845,0.00054845,0.00054845
12,759.854,0.14516,0.95327,1,0.10051,0.000540255,0.000540255,0.000540255
13,822.396,0.10281,0.96262,1,0.09195,0.000522157,0.000522157,0.000522157
14,883.015,0.09477,0.96262,1,0.05666,0.000494155,0.000494155,0.000494155
15,944.197,0.07367,0.97196,1,0.07183,0.000438703,0.000438703,0.000438703
16,1004.34,0.18047,0.97196,1,0.04939,0.000367967,0.000367967,0.000367967
17,1065.91,0.07492,0.98131,1,0.04907,0.000297232,0.000297232,0.000297232
18,1128.12,0.10665,0.98131,1,0.03929,0.000226497,0.000226497,0.000226497
19,1189.05,0.14211,0.99065,1,0.03059,0.000155761,0.000155761,0.000155761
20,1251.27,0.09145,0.99065,1,0.02719,8.50255e-05,8.50255e-05,8.50255e-05
