epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.179,0,1,1,0,0,0,0
2,2.24112,0,1,1,0,1.802e-05,1.802e-05,1.802e-05
3,3.27518,0,1,1,0,3.208e-05,3.208e-05,3.208e-05
4,4.27875,0,1,1,0,4.218e-05,4.218e-05,4.218e-05
5,5.28104,0,1,1,0,4.832e-05,4.832e-05,4.832e-05
6,6.22811,0,1,1,0,5.05e-05,5.05e-05,5.05e-05
7,7.20468,0,1,1,0,4.872e-05,4.872e-05,4.872e-05
8,8.15184,0,1,1,0,4.298e-05,4.298e-05,4.298e-05
9,9.35942,0,1,1,0,3.328e-05,3.328e-05,3.328e-05
10,10.472,0,1,1,0,1.962e-05,1.962e-05,1.962e-05
