epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,60.1243,1.1071,0.32292,1,1.07125,7.145e-05,7.145e-05,7.145e-05
2,128.576,0.83665,0.90625,1,0.59786,0.000149409,0.000149409,0.000149409
3,194.057,0.48454,0.95833,1,0.28048,0.00021888,0.00021888,0.00021888
4,261.281,0.31324,0.95833,1,0.1456,0.000279863,0.000279863,0.000279863
5,327.135,0.26065,0.95833,1,0.09356,0.000332357,0.000332357,0.000332357
6,391.659,0.22192,0.96875,1,0.06795,0.000376363,0.000376363,0.000376363
7,454.4,0.14178,1,1,0.05219,0.000411881,0.000411881,0.000411881
8,517.568,0.12957,1,1,0.04049,0.00043891,0.00043891,0.00043891
9,585.049,0.16601,0.98958,1,0.0364,0.000457451,0.000457451,0.000457451
10,650.77,0.15114,0.98958,1,0.03267,0.000467504,0.000467504,0.000467504
11,716.411,0.10536,1,1,0.03341,0.000469069,0.000469069,0.000469069
12,780.072,0.20123,0.94792,1,0.07862,0.000462146,0.000462146,0.000462146
13,843.846,0.21113,0.92708,1,0.14632,0.000446734,0.000446734,0.000446734
14,908.981,0.18909,0.96875,1,0.07169,0.000422834,0.000422834,0.000422834
15,974.801,0.09645,1,1,0.04499,0.000390446,0.000390446,0.000390446
16,1038.57,0.07831,0.98958,1,0.02782,0.000349569,0.000349569,0.000349569
17,1102.71,0.15978,0.98958,1,0.02467,0.000297232,0.000297232,0.000297232
18,1168.6,0.10054,0.98958,1,0.02476,0.000226497,0.000226497,0.000226497
19,1233.76,0.05173,0.98958,1,0.02504,0.000155761,0.000155761,0.000155761
20,1296.65,0.10966,0.98958,1,0.02375,8.50255e-05,8.50255e-05,8.50255e-05
