epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.15316,0,1,1,0,0,0,0
2,2.25064,0,1,1,0,1.9604e-05,1.9604e-05,1.9604e-05
3,3.28778,0,1,1,0,3.8416e-05,3.8416e-05,3.8416e-05
4,4.25685,0,1,1,0,5.6436e-05,5.6436e-05,5.6436e-05
5,5.23854,0,1,1,0,7.3664e-05,7.3664e-05,7.3664e-05
6,6.31892,0,1,1,0,9.01e-05,9.01e-05,9.01e-05
7,7.26875,0,1,1,0,0.000105744,0.000105744,0.000105744
8,8.57805,0,1,1,0,0.000120596,0.000120596,0.000120596
9,12.386,0,1,1,0,0.000134656,0.000134656,0.000134656
10,14.0204,0,1,1,0,0.000147924,0.000147924,0.000147924
11,15.1024,0,1,1,0,0.0001604,0.0001604,0.0001604
12,17.3931,0,1,1,0,0.000172084,0.000172084,0.000172084
13,18.6261,0,1,1,0,0.000182976,0.000182976,0.000182976
14,19.5576,0,1,1,0,0.000193076,0.000193076,0.000193076
15,20.534,0,1,1,0,0.000202384,0.000202384,0.000202384
16,21.5054,0,1,1,0,0.0002109,0.0002109,0.0002109
17,22.5305,0,1,1,0,0.000218624,0.000218624,0.000218624
18,23.745,0,1,1,0,0.000225556,0.000225556,0.000225556
19,24.7792,0,1,1,0,0.000231696,0.000231696,0.000231696
20,25.8417,0,1,1,0,0.000237044,0.000237044,0.000237044
21,26.9551,0,1,1,0,0.0002416,0.0002416,0.0002416
22,28.2891,0,1,1,0,0.000245364,0.000245364,0.000245364
23,29.2231,0,1,1,0,0.000248336,0.000248336,0.000248336
24,30.0852,0,1,1,0,0.000250516,0.000250516,0.000250516
25,30.9737,0,1,1,0,0.000251904,0.000251904,0.000251904
26,32.1325,0,1,1,0,0.0002525,0.0002525,0.0002525
27,33.0039,0,1,1,0,0.000252304,0.000252304,0.000252304
28,33.8477,0,1,1,0,0.000251316,0.000251316,0.000251316
29,34.7326,0,1,1,0,0.000249536,0.000249536,0.000249536
30,35.5758,0,1,1,0,0.000246964,0.000246964,0.000246964
31,36.528,0,1,1,0,0.0002436,0.0002436,0.0002436
32,37.4087,0,1,1,0,0.000239444,0.000239444,0.000239444
33,38.4775,0,1,1,0,0.000234496,0.000234496,0.000234496
34,39.7865,0,1,1,0,0.000228756,0.000228756,0.000228756
35,40.7318,0,1,1,0,0.000222224,0.000222224,0.000222224
36,41.607,0,1,1,0,0.0002149,0.0002149,0.0002149
37,42.5952,0,1,1,0,0.000206784,0.000206784,0.000206784
38,43.5726,0,1,1,0,0.000197876,0.000197876,0.000197876
39,44.7179,0,1,1,0,0.000188176,0.000188176,0.000188176
40,45.9323,0,1,1,0,0.000177684,0.000177684,0.000177684
41,47.2197,0,1,1,0,0.0001664,0.0001664,0.0001664
42,48.2286,0,1,1,0,0.000154324,0.000154324,0.000154324
43,49.1946,0,1,1,0,0.000141456,0.000141456,0.000141456
44,50.0542,0,1,1,0,0.000127796,0.000127796,0.000127796
45,50.9484,0,1,1,0,0.000113344,0.000113344,0.000113344
46,51.8183,0,1,1,0,9.81e-05,9.81e-05,9.81e-05
47,52.8364,0,1,1,0,8.2064e-05,8.2064e-05,8.2064e-05
48,53.9744,0,1,1,0,6.5236e-05,6.5236e-05,6.5236e-05
49,54.966,0,1,1,0,4.7616e-05,4.7616e-05,4.7616e-05
50,55.8725,0,1,1,0,2.9204e-05,2.9204e-05,2.9204e-05
